,Hãng xe,Tên xe,Giá (VNĐ),Năm sản xuất,Dòng xe,Số chỗ ngồi,Nguyên liệu,Dung tích (L),Xuất xứ,Hộp số
1080,Isuzu, Dmax Hi-Lander Z 1.9L 4x2 AT - 2022,"725,000,000",2022,Bán tải / Pickup,5 ,Dầu,1.9,Nhập khẩu,Số tự động
1081,Toyota, Vios E 1.5 MT - 2023,"489,000,000",2023,Sedan,5 ,Xăng,1.5,Lắp ráp trong nước,Số tay
1082,Hyundai, Elantra 1.6 AT Đặc biệt - 2023,"644,000,000",2023,Sedan,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1083,Mitsubishi, Attrage 1.2 CVT - 2022,"441,000,000",2022,Sedan,5 ,Xăng,1.2,Nhập khẩu,Số tự động
1084,Hyundai, Elantra 1.6 AT Đặc biệt - 2023,"609,000,000",2023,Sedan,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1085,Mitsubishi, Xpander Cross 1.5 AT - 2023,"708,000,000",2023,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1086,Toyota, Raize G 1.0 CVT - 2023,"530,000,000",2023,SUV,5 ,Xăng,1.0,Nhập khẩu,Số tự động
1087,Toyota, Raize G 1.0 CVT - 2023,"540,000,000",2023,SUV,5 ,Xăng,1.0,Nhập khẩu,Số tự động
1088,Toyota, Corolla Cross 1.8V - 2022,"846,000,000",2022,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1089,Toyota, Camry 2.0Q - 2022,"1,110,000,000",2022,Sedan,5 ,Xăng,2.0,Nhập khẩu,Số tự động
1090,Ford, Territory Titanium 1.5 AT - 2023,"889,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1091,Ford, Everest Titanium 2.0L 4x2 AT - 2023,"1,299,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
1092,Honda, CRV G - 2023,"923,000,000",2023,SUV,7 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1093,Toyota, Corolla Cross 1.8HV - 2022,"905,000,000",2022,SUV,5 ,Hybrid,1.8,Nhập khẩu,Số tự động
1094,Toyota, Corolla Cross 1.8V - 2023,"860,000,000",2023,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1095,Mazda, 6 Signature Premium 2.5 AT - 2023,"999,000,000",2023,Sedan,5 ,Xăng,2.5,Lắp ráp trong nước,Số tự động
1096,Toyota, Camry 2.5Q - 2023,"1,370,000,000",2023,Sedan,5 ,Xăng,2.5,Nhập khẩu,Số tự động
1097,Mitsubishi, Triton Athlete 4x2 AT - 2023,"780,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.4,Nhập khẩu,Số tự động
1098,Mazda, BT50 1.9L 4x2 MT - 2022,"599,000,000",2022,Bán tải / Pickup,5 ,Dầu,1.9,Nhập khẩu,Số tay
1099,Nissan, Kicks e-Power E - 2023,"709,000,000",2023,SUV,5 ,Hybrid,1.2,Nhập khẩu,Số tự động
1100,Subaru, Forester 2.0i-L - 2023,"925,000,000",2023,SUV,5 ,Xăng,2.0,Nhập khẩu,Số tự động
1101,Toyota, Veloz Cross Top 1.5 CVT - 2023,"706,000,000",2023,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1102,Subaru, Forester 2.0i-L - 2023,"925,000,000",2023,SUV,5 ,Xăng,2.0,Nhập khẩu,Số tự động
1103,Honda, City RS 1.5 AT - 2023,"604,000,000",2023,Sedan,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1104,Honda, CRV L - 2023,"1,118,000,000",2023,SUV,7 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1105,Nissan, Navara Pro-4X 2.3 AT 4WD - 2022,"855,000,000",2022,Bán tải / Pickup,5 ,Dầu,2.3,Nhập khẩu,Số tự động
1106,Mazda, CX5 Premium 2.0 AT - 2023,"814,000,000",2023,SUV,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1107,VinFast, VF8 Plus - 2023,"907,000,000",2023,SUV,5 ,Điện,0.2,Lắp ráp trong nước,Số tự động
1108,Mitsubishi, Outlander 2.0 CVT - 2023,"825,000,000",2023,SUV,7 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1109,Hyundai, i10 1.2 AT - 2023,"435,000,000",2023,Hatchback,5 ,Xăng,1.25,Lắp ráp trong nước,Số tự động
1110,Hyundai, Tucson 2.0 AT Tiêu chuẩn - 2022,"810,000,000",2022,Crossover,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1111,Hyundai, SantaFe Tiêu chuẩn 2.2L - 2023,"1,100,000,000",2023,SUV,7 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1112,Hyundai, i10 1.2 MT Tiêu Chuẩn - 2023,"355,000,000",2023,Sedan,5 ,Xăng,1.25,Lắp ráp trong nước,Số tay
1113,Mitsubishi, Attrage 1.2 MT - 2022,"380,000,000",2022,Sedan,5 ,Xăng,1.2,Nhập khẩu,Số tay
1114,Toyota, Avanza Premio 1.5 AT - 2023,"598,000,000",2023,SUV,7 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1115,Ford, Ranger Wildtrak 2.0L 4x4 AT - 2023,"900,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.0,Lắp ráp trong nước,Số tự động
1116,Ford, Ranger Wildtrak 2.0L 4x4 AT - 2023,"910,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.0,Lắp ráp trong nước,Số tự động
1117,Suzuki, XL7 1.5 AT - 2022,"599,000,000",2022,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1118,Honda, City L 1.5 AT - 2023,"510,000,000",2023,Sedan,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1119,Ford, Everest Sport 2.0L 4x2 AT - 2023,"1,145,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
1120,Hyundai, Tucson 1.6 AT Turbo HTRAC Đặc biệt - 2023,"1,025,000,000",2023,Crossover,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1121,Ford, Ranger XLS 2.0L 4x2 AT - 2023,"688,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1122,Nissan, Navara VE 2.3 AT 2WD Tiêu chuẩn - 2022,"635,000,000",2022,Bán tải / Pickup,5 ,Dầu,2.3,Nhập khẩu,Số tự động
1123,Ford, Everest Titanium Plus 2.0L 4x4 AT - 2023,"1,420,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
1124,Toyota, Camry 2.5HV - 2023,"1,068,000,000",2023,Sedan,5 ,Hybrid,2.5,Nhập khẩu,Số tự động
1125,Ford, Ranger XLS 2.0L 4x2 MT - 2023,"615,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tay
1126,Toyota, Veloz Cross Top 1.5 CVT - 2023,"668,000,000",2023,SUV,7 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1127,BMW, 3 Series 320i Sport Line - 2023,"1,499,000,000",2023,Sedan,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1128,Toyota, Corolla Cross 1.8HV - 2022,"925,000,000",2022,SUV,5 ,Hybrid,1.8,Nhập khẩu,Số tự động
1129,Toyota, Vios G 1.5 CVT - 2023,"537,000,000",2023,Sedan,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1130,Hyundai, Solati H350 2.5 MT - 2022,"1,100,000,000",2022,Van/Minivan,16 ,Dầu,2.5,Lắp ráp trong nước,Số tay
1131,Peugeot, 3008 AL - 2023,"1,065,000,000",2023,Crossover,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1132,Peugeot, 5008 AL 1.6 AT - 2023,"1,149,000,000",2023,SUV,7 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1133,Peugeot, 5008 AL 1.6 AT - 2023,"1,149,000,000",2023,SUV,7 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1134,Peugeot, 5008 AL 1.6 AT - 2023,"1,149,000,000",2023,SUV,7 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1135,Peugeot, 3008 GT - 2023,"1,149,000,000",2023,Crossover,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1136,Peugeot, 3008 AL - 2023,"1,065,000,000",2023,Crossover,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1137,Peugeot, 2008 Active 1.2 AT - 2023,"747,000,000",2023,Crossover,5 ,Xăng,1.2,Lắp ráp trong nước,Số tự động
1138,Peugeot, 3008 AL - 2023,"1,065,000,000",2023,Crossover,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1139,Toyota, Fortuner 2.4G 4x2 AT - 2023,"1,118,000,000",2023,SUV,7 ,Dầu,2.4,Lắp ráp trong nước,Số tự động
1140,Isuzu, MU-X B7 1.9 4X2 MT - 2022,"850,000,000",2022,SUV,7 ,Dầu,1.9,Nhập khẩu,Số tay
1141,Hyundai, SantaFe Cao cấp 2.2L HTRAC - 2023,"1,205,000,000",2023,SUV,7 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1142,Ford, Ranger XLS 2.0L 4x2 AT - 2023,"640,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1143,Toyota, Corolla Cross 1.8G - 2022,"685,000,000",2022,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1144,Toyota, Corolla Cross 1.8V - 2022,"766,000,000",2022,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1145,Ford, Ranger XLS 2.0L 4x2 AT - 2023,"640,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1146,Mitsubishi, Pajero Sport 2.4D 4x4 AT - 2023,"1,345,000,000",2023,SUV,7 ,Dầu,2.4,Nhập khẩu,Số tự động
1147,Toyota, Corolla Cross 1.8V - 2022,"764,000,000",2022,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1148,VinFast, VF9 Plus - 2023,"1,121,000,000",2023,SUV,7 ,Điện,0.2,Lắp ráp trong nước,Số tự động
1149,Toyota, Camry 2.0Q - 2023,"1,105,000,000",2023,Sedan,5 ,Xăng,2.0,Nhập khẩu,Số tự động
1150,Honda, HRV G - 2023,"699,000,000",2023,Crossover,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1151,Ford, Ranger Wildtrak 2.0L 4x4 AT - 2023,"910,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.0,Lắp ráp trong nước,Số tự động
1152,VinFast, VF8 Plus - 2023,"1,120,000,000",2023,SUV,5 ,Điện,0.2,Lắp ráp trong nước,Số tự động
1153,Ford, Ranger XLS 2.0L 4x4 AT - 2023,"715,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1154,VinFast, VF8 Eco - 2023,"940,000,000",2023,SUV,5 ,Điện,0.2,Lắp ráp trong nước,Số tự động
1155,Honda, HRV G - 2023,"699,000,000",2023,Crossover,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1156,Ford, Territory Titanium X 1.5 AT - 2023,"900,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1157,Ford, Territory Trend 1.5 AT - 2023,"802,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1158,Toyota, Veloz Cross 1.5 CVT - 2023,"658,000,000",2023,SUV,7 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1159,Honda, City L 1.5 AT - 2023,"510,000,000",2023,Sedan,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1160,Kia, K3 Premium 1.6 AT - 2023,"669,000,000",2023,Sedan,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1161,Hyundai, Tucson 2.0 AT Tiêu chuẩn - 2023,"800,000,000",2023,Crossover,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1162,Hyundai, Creta Tiêu chuẩn 1.5 AT - 2023,"599,000,000",2023,Crossover,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1163,Toyota, Camry 2.5Q - 2023,"1,370,000,000",2023,Sedan,5 ,Xăng,2.5,Nhập khẩu,Số tự động
1164,Toyota, Corolla Cross 1.8G - 2023,"746,000,000",2023,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1165,Hyundai, SantaFe Cao cấp 2.5L HTRAC - 2023,"1,190,000,000",2023,SUV,7 ,Xăng,2.5,Lắp ráp trong nước,Số tự động
1166,Mitsubishi, Xpander Cross 1.5 AT - 2023,"670,000,000",2023,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1167,Mazda, 2 1.5 AT - 2023,"415,000,000",2023,Sedan,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1168,Toyota, Corolla Cross 1.8G - 2023,"720,000,000",2023,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1169,Toyota, Veloz Cross 1.5 CVT - 2023,"658,000,000",2023,SUV,7 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1170,Toyota, Corolla Cross 1.8V - 2023,"860,000,000",2023,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1171,VinFast, VF9 PLUS - 2023,"1,121,000,000",2023,SUV,7 ,Điện,0,Lắp ráp trong nước,Số tự động
1172,Mitsubishi, Attrage 1.2 CVT - 2023,"465,000,000",2023,Sedan,5 ,Xăng,1.2,Nhập khẩu,Số tự động
1173,Toyota, Fortuner 2.4G 4x2 AT Legender - 2023,"1,134,000,000",2023,SUV,7 ,Dầu,2.4,Lắp ráp trong nước,Số tự động
1174,Toyota, Yaris G 1.5 AT - 2023,"668,000,000",2023,Hatchback,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1175,Mitsubishi, Attrage 1.2 CVT - 2023,"465,000,000",2023,Sedan,5 ,Xăng,1.2,Nhập khẩu,Số tự động
1176,Hyundai, SantaFe Cao cấp 2.5L HTRAC - 2023,"1,185,000,000",2023,SUV,7 ,Xăng,2.5,Lắp ráp trong nước,Số tự động
1177,Ford, Everest Titanium Plus 2.0L 4x4 AT - 2023,"1,425,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
1178,Toyota, Corolla Cross 1.8V - 2022,"752,000,000",2022,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1179,Mitsubishi, Pajero Sport 2.4D 4x4 AT - 2023,"1,365,000,000",2023,SUV,7 ,Dầu,2.4,Nhập khẩu,Số tự động
1180,Kia, Seltos Premium 1.4 AT - 2023,"716,000,000",2023,Crossover,5 ,Xăng,1.4,Lắp ráp trong nước,Số tự động
1181,Mitsubishi, Triton Athlete 4x2 AT - 2022,"780,000,000",2022,Bán tải / Pickup,5 ,Dầu,2.4,Nhập khẩu,Số tự động
1182,Toyota, Corolla Cross 1.8V - 2023,"860,000,000",2023,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1183,VinFast, VF8 Plus - 2023,"1,088,000,000",2023,SUV,5 ,Điện,0.2,Lắp ráp trong nước,Số tự động
1184,Toyota, Camry 2.5Q - 2023,"1,330,000,000",2023,Sedan,5 ,Xăng,2.5,Nhập khẩu,Số tự động
1185,Honda, City RS 1.5 AT - 2023,"534,000,000",2023,Sedan,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1186,Suzuki, Ertiga Hybrid 1.5 AT - 2023,"608,000,000",2023,SUV,7 ,Hybrid,1.5,Nhập khẩu,Số tự động
1187,Mitsubishi, Xpander Cross 1.5 AT - 2023,"698,000,000",2023,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1188,Ford, Ranger Raptor 2.0L 4x4 AT - 2022,"1,329,000,000",2022,Bán tải / Pickup,5 ,Dầu,2.0,Nhập khẩu,Số tự động
1189,Toyota, Vios E 1.5 MT - 2023,"464,000,000",2023,Sedan,5 ,Xăng,1.5,Lắp ráp trong nước,Số tay
1190,VinFast, VF5 Plus - 2023,"409,000,000",2023,SUV,5 ,Điện,0,Lắp ráp trong nước,Số tự động
1191,Hyundai, Creta Tiêu chuẩn 1.5 AT - 2023,"599,000,000",2023,Crossover,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1192,Honda, City L 1.5 AT - 2023,"496,000,000",2023,Sedan,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1193,Toyota, Corolla Cross 1.8V - 2023,"840,000,000",2023,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1194,Ford, Ranger XLS 2.0L 4x2 AT - 2023,"638,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1195,Toyota, Corolla Cross 1.8V - 2023,"868,000,000",2023,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1196,Ford, Ranger Wildtrak 2.0L 4x4 AT - 2023,"915,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.0,Lắp ráp trong nước,Số tự động
1197,MG, 5 Standard 1.5 AT - 2022,"493,000,000",2022,Sedan,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1198,MG, 5 Luxury 1.5 AT - 2022,"558,000,000",2022,Sedan,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1199,Hyundai, Creta Tiêu chuẩn 1.5 AT - 2023,"600,000,000",2023,Crossover,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1200,Suzuki, Swift GLX 1.2 AT - 2022,"549,000,000",2022,Hatchback,5 ,Xăng,1.2,Nhập khẩu,Số tự động
1201,Volkswagen, T-Cross Luxury 1.0 AT - 2023,"1,299,000,000",2023,Crossover,5 ,Xăng,1.0,Nhập khẩu,Số tự động
1202,Mitsubishi, Xpander Cross 1.5 AT - 2023,"698,000,000",2023,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1203,Volkswagen, Polo 1.6 AT - 2023,"695,000,000",2023,Hatchback,5 ,Xăng,1.6,Nhập khẩu,Số tự động
1204,Ford, Ranger Wildtrak 2.0L 4x4 AT - 2023,"905,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.0,Lắp ráp trong nước,Số tự động
1205,Peugeot, 3008 GT - 2023,"1,209,000,000",2023,Crossover,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1206,Mitsubishi, Xpander Premium 1.5 AT - 2023,"658,000,000",2023,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1207,Ford, Everest Titanium 2.0L 4x2 AT - 2023,"1,279,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
1208,Hyundai, Accent 1.4 AT - 2023,"468,000,000",2023,Sedan,5 ,Xăng,1.4,Lắp ráp trong nước,Số tự động
1209,Toyota, Corolla Cross 1.8V - 2022,"771,000,000",2022,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1210,Ford, Territory Titanium X 1.5 AT - 2023,"954,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1211,Ford, Ranger XLS 2.0L 4x2 AT - 2023,"648,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1212,Toyota, Veloz Cross Top 1.5 CVT - 2023,"658,000,000",2023,SUV,7 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1213,Subaru, Forester 2.0i-L - 2023,"910,000,000",2023,SUV,5 ,Xăng,2.0,Nhập khẩu,Số tự động
1214,Toyota, Corolla Cross 1.8HV - 2023,"963,000,000",2023,SUV,5 ,Hybrid,1.8,Nhập khẩu,Số tự động
1215,Ford, Everest Titanium 2.0L 4x2 AT - 2023,"1,245,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
1216,Toyota, Raize G 1.0 CVT - 2023,"560,000,000",2023,SUV,5 ,Xăng,1.0,Nhập khẩu,Số tự động
1217,Mitsubishi, Triton Athlete 4x4 AT - 2023,"905,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.4,Nhập khẩu,Số tự động
1218,Toyota, Veloz Cross 1.5 CVT - 2022,"658,000,000",2022,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1219,Toyota, Corolla Cross 1.8V - 2022,"846,000,000",2022,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1220,Toyota, Raize G 1.0 CVT - 2023,"560,000,000",2023,SUV,5 ,Xăng,1.0,Nhập khẩu,Số tự động
1221,Mitsubishi, Triton Athlete 4x4 AT - 2023,"905,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.4,Nhập khẩu,Số tự động
1222,Toyota, Veloz Cross 1.5 CVT - 2022,"658,000,000",2022,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1223,Toyota, Corolla Cross 1.8V - 2022,"846,000,000",2022,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1224,Ford, Ranger Wildtrak 2.0L 4x4 AT - 2023,"939,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.0,Lắp ráp trong nước,Số tự động
1225,Ford, Territory Titanium 1.5 AT - 2023,"830,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1226,Honda, City L 1.5 AT - 2023,"569,000,000",2023,Sedan,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1227,Ford, Ranger XLS 2.0L 4x2 AT - 2023,"648,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1228,Ford, Everest Titanium 2.0L 4x2 AT - 2023,"1,249,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
1229,Hyundai, Accent 1.4 AT Đặc Biệt - 2023,"510,000,000",2023,Sedan,5 ,Xăng,1.4,Lắp ráp trong nước,Số tự động
1230,Toyota, Veloz Cross 1.5 CVT - 2023,"658,000,000",2023,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1231,VinFast, Lux A 2.0 Cao cấp - 2022,"950,000,000",2022,Sedan,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1232,Mitsubishi, Outlander 2.0 CVT - 2023,"825,000,000",2023,SUV,7 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1233,Toyota, Camry 2.0G - 2023,"1,078,000,000",2023,Sedan,5 ,Xăng,2.0,Nhập khẩu,Số tự động
1234,Toyota, Yaris G 1.5 AT - 2023,"684,000,000",2023,Hatchback,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1235,Ford, Ranger Wildtrak 2.0L 4x4 AT - 2023,"895,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.0,Lắp ráp trong nước,Số tự động
1236,Suzuki, XL7 1.5 AT - 2022,"599,000,000",2022,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1237,Kia, Carnival Signature 2.2D - 2023,"1,511,000,000",2023,Van/Minivan,7 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1238,VinFast, VF8 Plus - 2023,"1,184,000,000",2023,SUV,5 ,Điện,0.2,Lắp ráp trong nước,Số tự động
1239,Toyota, Raize G 1.0 CVT - 2023,"520,000,000",2023,SUV,5 ,Xăng,1.0,Nhập khẩu,Số tự động
1240,Ford, Ranger XLS 2.0L 4x2 AT - 2023,"640,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1241,Ford, Everest Titanium 2.0L 4x2 AT - 2023,"1,245,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
1242,Toyota, Veloz Cross 1.5 CVT - 2023,"598,000,000",2023,SUV,7 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1243,Mitsubishi, Triton Athlete 4x2 AT - 2023,"690,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.4,Nhập khẩu,Số tự động
1244,VinFast, VF8 Plus - 2023,"887,000,000",2023,SUV,5 ,Hybrid,0,Lắp ráp trong nước,Số tự động
1245,Ford, Ranger Wildtrak 2.0L 4x4 AT - 2023,"915,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.0,Lắp ráp trong nước,Số tự động
1246,Hyundai, SantaFe Cao cấp 2.5L HTRAC - 2023,"1,195,000,000",2023,SUV,7 ,Xăng,2.5,Lắp ráp trong nước,Số tự động
1247,Toyota, Fortuner 2.4L 4x2 AT - 2023,"993,000,000",2023,SUV,7 ,Dầu,2.4,Lắp ráp trong nước,Số tự động
1248,Isuzu, Dmax LS 1.9L 4x2 MT - 2022,"615,000,000",2022,Bán tải / Pickup,5 ,Dầu,1.9,Nhập khẩu,Số tay
1249,Toyota, Veloz Cross Top 1.5 CVT - 2023,"643,000,000",2023,SUV,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1250,Ford, Transit Tiêu chuẩn - 2023,"849,000,000",2023,Van/Minivan,16 ,Dầu,2.2,Lắp ráp trong nước,Số tay
1251,Toyota, Corolla altis 1.8HV - 2022,"800,000,000",2022,Sedan,5 ,Hybrid,0,Nhập khẩu,Số tự động
1252,Hyundai, SantaFe Cao cấp 2.2L HTRAC - 2023,"1,260,000,000",2023,SUV,7 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1253,Hyundai, Stargazer Tiêu chuẩn 1.5 AT - 2023,"505,000,000",2023,Van/Minivan,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1254,Toyota, Raize G 1.0 CVT - 2023,"537,000,000",2023,SUV,5 ,Xăng,1.0,Nhập khẩu,Số tự động
1255,Hyundai, Creta Đặc biệt 1.5 AT - 2023,"642,000,000",2023,Crossover,5 ,Xăng,1.5,Nhập khẩu,Số tự động
1256,Mitsubishi, Outlander 2.0 CVT - 2023,"825,000,000",2023,SUV,7 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1257,Kia, K3 GT 1.6 AT Turbo - 2023,"738,000,000",2023,Sedan,5 ,Xăng,1.6,Lắp ráp trong nước,Số tự động
1258,Hyundai, Tucson 2.0 AT Tiêu chuẩn - 2023,"808,000,000",2023,Crossover,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1259,Mitsubishi, Outlander 2.0 CVT - 2023,"825,000,000",2023,SUV,7 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1260,Ford, Territory Trend 1.5 AT - 2023,"822,000,000",2023,SUV,5 ,Xăng,1.5,Lắp ráp trong nước,Số tự động
1261,Toyota, Corolla Cross 1.8V - 2023,"850,000,000",2023,SUV,5 ,Xăng,1.8,Nhập khẩu,Số tự động
1262,Toyota, Innova Venturer 2.0 AT - 2023,"885,000,000",2023,Crossover,8 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1263,Ford, Ranger XLT 2.0L 4x4 AT - 2023,"780,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1264,Ford, Ranger XLT 2.0L 4x4 AT - 2023,"830,000,000",2023,Bán tải / Pickup,5 ,Dầu,2.2,Lắp ráp trong nước,Số tự động
1265,Hyundai, Tucson 2.0 AT Đặc biệt - 2023,"915,000,000",2023,Crossover,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1266,Mazda, CX5 Deluxe 2.0 AT - 2023,"754,000,000",2023,SUV,5 ,Xăng,2.0,Lắp ráp trong nước,Số tự động
1267,Ford, Everest Sport 2.0L 4x2 AT - 2023,"1,129,000,000",2023,SUV,7 ,Dầu,2.0,Nhập khẩu,Số tự động
1268,Hyundai, Stargazer Tiêu chuẩn 1.5 AT - 2022,"519,000,000",2022,Van/Minivan,7 ,Xăng,1.5,Nhập khẩu,Số tự động
1269,VinFast, VF8 Plus - 2023,"887,000,000",2023,SUV,5 ,Điện,0.2,Lắp ráp trong nước,Số tự động
